Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2014,1,Ciutat Vella,el Raval,589.55,10.76
2014,1,Ciutat Vella,Gothic Quarter,712.79,10.58
2014,1,Ciutat Vella,la Barceloneta,540.71,14.4
2014,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",673.44,11.01
2014,1,Eixample,Fort Pienc,736.09,10.42
2014,1,Eixample,Sagrada Familia,673.37,10.55
2014,1,Eixample,la Dreta de l'Eixample,921.4,9.84
2014,1,Eixample,l'Antiga Esquerra de l'Eixample,827.87,10.35
2014,1,Eixample,la Nova Esquerra de l'Eixample,716.13,10.32
2014,1,Eixample,Sant Antoni,693.43,9.77
2014,1,Sants-Montjuic,el Poble Sec,568.0,10.18
2014,1,Sants-Montjuic,la Marina de Port,553.55,8.34
2014,1,Sants-Montjuic,la Font de la Guatlla,631.5,10.83
2014,1,Sants-Montjuic,Hostafrancs,580.71,10.4
2014,1,Sants-Montjuic,la Bordeta,604.74,9.46
2014,1,Sants-Montjuic,Sants - Badal,584.27,9.94
2014,1,Sants-Montjuic,Sants,605.28,9.89
2014,1,Les Corts,les Corts,777.23,11.39
2014,1,Les Corts,la Maternitat i Sant Ramon,700.16,10.02
2014,1,Les Corts,Pedralbes,1230.0,11.19
2014,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",837.33,7.9
2014,1,Sarria-Sant Gervasi,Sarria,1042.16,12.62
2014,1,Sarria-Sant Gervasi,les Tres Torres,1215.85,13.27
2014,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,927.63,11.46
2014,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1053.7,12.08
2014,1,Sarria-Sant Gervasi,el Putxet i el Farro,750.84,11.06
2014,1,Gracia,Vallcarca i els Penitents,679.66,10.18
2014,1,Gracia,el Coll,583.93,9.77
2014,1,Gracia,la Salut,634.48,10.2
2014,1,Gracia,la Vila de Gracia,679.8,11.59
2014,1,Gracia,el Camp d'en Grassot i Gracia Nova,671.0,10.29
2014,1,Horta-Guinardo,el Baix Guinardo,622.63,9.63
2014,1,Horta-Guinardo,Can Baro,568.94,9.97
2014,1,Horta-Guinardo,el Guinardo,586.5,9.35
2014,1,Horta-Guinardo,la Font d'en Fargues,585.45,9.26
2014,1,Horta-Guinardo,el Carmel,478.7,8.41
2014,1,Horta-Guinardo,la Teixonera,492.79,8.52
2014,1,Horta-Guinardo,Sant Genis dels Agudells,557.0,7.72
2014,1,Horta-Guinardo,Montbau,537.94,9.48
2014,1,Horta-Guinardo,la Vall d'Hebron,737.73,10.59
2014,1,Horta-Guinardo,Horta,556.3,8.85
2014,1,Nou Barris,Vilapicina i la Torre Llobeta,555.89,8.85
2014,1,Nou Barris,Porta,523.29,8.58
2014,1,Nou Barris,el Turo de la Peira,475.06,7.59
2014,1,Nou Barris,Can Peguera,241.99,6.03
2014,1,Nou Barris,la Guineueta,613.58,8.11
2014,1,Nou Barris,Canyelles,563.33,7.35
2014,1,Nou Barris,les Roquetes,461.28,8.53
2014,1,Nou Barris,Verdun,503.47,9.03
2014,1,Nou Barris,la Prosperitat,521.81,9.03
2014,1,Nou Barris,la Trinitat Nova,442.94,8.96
2014,1,Nou Barris,Ciutat Meridiana,359.27,6.23
2014,1,Sant Andreu,la Trinitat Vella,461.1,8.28
2014,1,Sant Andreu,el Bon Pastor,488.14,8.09
2014,1,Sant Andreu,Sant Andreu,581.16,9.39
2014,1,Sant Andreu,la Sagrera,626.26,9.28
2014,1,Sant Andreu,el Congres i els Indians,563.42,9.21
2014,1,Sant Andreu,Navas,613.47,9.2
2014,1,Sant Marti,el Camp de l'Arpa del Clot,580.09,9.96
2014,1,Sant Marti,el Clot,604.85,9.82
2014,1,Sant Marti,el Parc i la Llacuna del Poblenou,704.67,11.04
2014,1,Sant Marti,la Vila Olimpica del Poblenou,926.43,12.37
2014,1,Sant Marti,el Poblenou,663.93,11.38
2014,1,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,866.7,10.82
2014,1,Sant Marti,el Besos i el Maresme,516.9,8.51
2014,1,Sant Marti,Provencals del Poblenou,635.7,9.54
2014,1,Sant Marti,Sant Marti de Provencals,643.66,8.73
2014,1,Sant Marti,la Verneda i la Pau,568.68,8.34
2014,2,Ciutat Vella,el Raval,550.63,10.52
2014,2,Ciutat Vella,Gothic Quarter,728.79,10.18
2014,2,Ciutat Vella,la Barceloneta,541.93,14.53
2014,2,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",676.98,11.23
2014,2,Eixample,Fort Pienc,706.16,10.06
2014,2,Eixample,Sagrada Familia,663.23,10.59
2014,2,Eixample,la Dreta de l'Eixample,948.96,10.63
2014,2,Eixample,l'Antiga Esquerra de l'Eixample,821.81,10.98
2014,2,Eixample,la Nova Esquerra de l'Eixample,708.0,10.63
2014,2,Eixample,Sant Antoni,718.01,10.4
2014,2,Sants-Montjuic,el Poble Sec,578.65,10.3
2014,2,Sants-Montjuic,la Marina de Port,454.44,7.27
2014,2,Sants-Montjuic,la Font de la Guatlla,624.88,10.55
2014,2,Sants-Montjuic,Hostafrancs,584.91,10.08
2014,2,Sants-Montjuic,la Bordeta,616.4,9.6
2014,2,Sants-Montjuic,Sants - Badal,569.68,10.1
2014,2,Sants-Montjuic,Sants,618.8,10.62
2014,2,Les Corts,les Corts,765.29,11.0
2014,2,Les Corts,la Maternitat i Sant Ramon,748.64,10.44
2014,2,Les Corts,Pedralbes,1459.12,12.52
2014,2,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1051.22,6.25
2014,2,Sarria-Sant Gervasi,Sarria,1030.35,13.29
2014,2,Sarria-Sant Gervasi,les Tres Torres,1327.22,14.4
2014,2,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,920.62,11.76
2014,2,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1006.56,11.56
2014,2,Sarria-Sant Gervasi,el Putxet i el Farro,761.35,11.32
2014,2,Gracia,Vallcarca i els Penitents,648.32,10.17
2014,2,Gracia,el Coll,551.4,9.81
2014,2,Gracia,la Salut,702.33,9.82
2014,2,Gracia,la Vila de Gracia,673.79,11.2
2014,2,Gracia,el Camp d'en Grassot i Gracia Nova,665.44,10.72
2014,2,Horta-Guinardo,el Baix Guinardo,610.87,9.7
2014,2,Horta-Guinardo,Can Baro,525.04,8.95
2014,2,Horta-Guinardo,el Guinardo,564.1,9.12
2014,2,Horta-Guinardo,la Font d'en Fargues,772.41,9.31
2014,2,Horta-Guinardo,el Carmel,495.01,9.0
